6552	V+N9fiKOEe6OuSpOhPmloA==	5	Convergence - Hold Chord	mono-poly template.performance			SFX;None;		JH/Dan Phillips			1689370525	1722637695	1722637695	0		0	multi/poly	0	0	0	0	Uses random +/- mod source with pitch env to modulate the individual Osc Tune parameter, plus random modulation of pitch env decay time. This produces a separate random value for each unison note. So, there are 32 different pitches sliding into the center. Used max curvature for decay, so that it settles slowly.	0	0	Mpx		1
6553	6Wht3F4zEe6XQHDNYKrNDg==	5	3049 Portents	mpx-minimoog template.performance			Pad;Soundscape;		Ski			1695928754	1721259480	1721259480	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6554	ri8oVgONEe6C43DNYKrNDg==	5	Dinosaurs	mpx-minimoog template.performance			Pad;Soundscape;		Ski			1685961754	1721259480	1721259480	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6555	wY8OLAmFEe6nIxDdsZkhnA==	5	Butter Bass	mono-poly template.performance			Bass;None;		Korg			1686618057	1721259481	1721259481	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6556	x9XX/ht2Ee6QGHDNYKrNDg==	5	Lead-o-Licious	mpx-minimoog template.performance			Lead;Fast Synth;		Ski			1688590746	1721259481	1721259481	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6557	bfjdhv27Ee2xURDdsZkhnA==	5	Angklung Pad	mono-poly template.performance			Bell/Mallet;Pad;		Korg			1685321696	1721259481	1721259481	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6558	biIspH7LEe6fOCpOhPmlng==	5	Camera Eye	mono-poly template.performance			Fast Synth;None;		John Lehmkuhl/DAP			1699512268	1721259481	1721259481	0		0	multi/poly	0	0	0	0	OB Poly Synth sound inspired by the start of a favorite Rush tune of mine.... Using Random on the Filter Cutoff and Resonance to make each note different in character because the original recording has this type of vibe to it (for me). Aftertouch for Filter cutoff thru a Smoothing Mod Processor so it's smooth!  John / www.pluginguru.com	0	0	Mpx		1
6559	Z+mufPEbEe28vXrvsXCCww==	5	Orbit Bell	mono-poly template.performance			Gtr/Plucked;Bell/Mallet;		Francis Preve			1683933552	1721259482	1721259482	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6560	sWFkmOk6Ee2k9nrvsXCCww==	5	Arcospice	mono-poly template.performance			Gtr/Plucked;Synth;		Francis Preve			1683067381	1722561551	1722561551	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6561	mFwQ2iDiEe6CwXDNYKrNDg==	5	CanToms	mpx-minimoog template.performance			Percussion;Drums;		Ski			1689186808	1721259482	1721259482	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6562	3tS4LOWDEe23KRDdsZkhnA==	5	Lake Moon	mono-poly template.performance			Bell/Mallet;Piano/Keys;		Korg			1682659006	1721259482	1721259482	0		0	multi/poly	0	0	0	0	Think Of You   TK	0	0	Mpx		1
6563	4AC5moWREe68kPAYmPHSsg==	5	Africa Brass 2	mono-poly template.performance			Brass;Synth;		JH			1700257206	1722891416	1722891416	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6564	5xKYjDb7Ee6hMfAYmPHSsg==	5	Flutes+Ensemble (Wheel)	mono-poly template.performance			Woodwind;Orchestral;		JH			1691616603	1722925167	1722925167	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6565	MAKkvuPEEe2Xq3rvsXCCxA==	5	70s String Machine	mono-poly template.performance			Pad;Orchestral;		Francis Preve			1682466727	1721259483	1721259483	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6566	zZQm+iJCEe6MG/KnoEkLAg==	5	Subtle Vowel Shifts	mono-poly template.performance			Vocal/Airy;Pad;		Matt Pike			1689338080	1721259483	1721259483	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6567	gd4P6mCqEe6aznDNYKrNDg==	5	I Feel SEMs	mpx-minimoog template.performance			Seq;Synth;		Ski			1696199593	1721259484	1721259484	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6568	XaZSDO1hEe2DZBDdsZkhnA==	5	Zap Wars	mono-poly template.performance			SFX;Soundscape;		Korg			1683523795	1721259484	1721259484	0		0	multi/poly	0	0	0	0	TK	0	0	Mpx		1
6569	R8qRytqfEe2wwqzeSAARIg==	5	Bay Area				Bass;None;		Korg			1681461315	1722560112	1722560112	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6570	iYyfzCzKEe6BEXDNYKrNDg==	5	Vapor Trail (Hold)	mpx-minimoog template.performance			Pad;Brass;		Ski			1690495889	1721259485	1721259485	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6571	/ZimLh9dEe6zOXDNYKrNDg==	5	Let's Hear It Boy Bass	mpx-minimoog template.performance			Bass;None;		Ski			1689019904	1721259485	1721259485	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6572	1/9wRtZ+Ee2C0HDNYKrNDg==	5	Nightlife Sync	mpx-minimoog template.performance			Lead;Fast Synth;		Ski			1681007579	1721259485	1721259485	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6573	LEHchi8kEe6sOHDNYKrNDg==	5	Massiveness Pad	mpx-minimoog template.performance			Pad;Soundscape;		Ski			1690754290	1721259485	1721259485	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6574	uND3rAqREe6ic/AYmPHSsg==	5	Alaska (Baked)	mono-poly template.performance			Fast Synth;Synth;		JH			1686733148	1721259486	1721259486	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6575	LKMImvQnEe2iPnDNYKrNDg==	5	LightBells	mpx-minimoog template.performance			Bell/Mallet;None;		Ski			1684268460	1721259486	1721259486	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
